Name,K1,L1,K2,L2,K3,L3
H-FK61,5.02504076E-01,1.32743798E-03,7.15240076E-01,1.08378966E-02,8.36628986E-01,1.55933755E+02
H-FK61B,7.14812161E-01,1.08370689E-02,5.02984998E-01,1.32155859E-03,8.36119846E-01,1.53360674E+02
H-FK71,2.22266610E-01,1.40651220E-02,8.80444178E-01,4.20457400E-03,7.97848915E-01,1.71029818E+02
H-FK95N,9.73027043E-01,4.91945800E-03,7.73632160E-02,1.82009400E-02,6.87944956E-01,1.59446090E+02
H-QK1,8.41944073E-01,9.32638704E+01,9.91785467E-01,1.03998728E-02,1.46213376E-01,-8.20300741E-03
H-QK3L,6.01737491E-01,1.25749740E-02,8.58737004E-01,9.23325663E+01,5.86761501E-01,2.68750900E-03
H-K1,8.41282669E-01,1.03641667E+02,1.01521166E+00,6.23224915E-03,2.04021337E-01,2.20570420E-02
H-K2,9.51357962E-01,1.12894891E-02,9.69614738E-01,9.91744348E+01,2.73207194E-01,-2.45665699E-03
H-K3,2.96004558E-01,1.85989847E-02,9.40420083E-01,5.13632873E-03,1.00566540E+00,9.75554310E+01
K4A,7.49532263E-01,1.48033503E-02,4.94866234E-01,-2.64092219E-04,9.60168660E-01,9.57190154E+01
H-K7,8.54802452E-01,1.03204260E+02,4.42226826E-01,1.79643059E-02,8.20484068E-01,4.33831623E-03
H-K8,8.90422310E-01,1.09831873E+02,2.20099174E-01,2.47288604E-02,1.04379220E+00,6.57041675E-03
H-K9L,6.14555251E-01,1.45987884E-02,6.56775017E-01,2.87769588E-03,1.02699346E+00,1.07653051E+02
H-K9LGT,6.14555251E-01,1.45987884E-02,6.56775017E-01,2.87769588E-03,1.02699346E+00,1.07653051E+02
H-K9L*,6.14555251E-01,1.45987884E-02,6.56775017E-01,2.87769588E-03,1.02699346E+00,1.07653051E+02
H-K9LA,6.84743072E-01,3.13539741E-03,5.86772376E-01,1.48101330E-02,1.14804248E+00,1.16583792E+02
H-K10,2.31760668E-01,2.37840711E-02,1.03993508E+00,6.15271269E-03,9.66966878E-01,1.17740117E+02
H-K11,7.95536936E-01,4.00873219E-03,5.00949252E-01,1.75436655E-02,9.05052235E-01,1.11287063E+02
H-K50,1.19524701E+00,7.64077104E-03,8.95076933E-02,3.18085706E-02,9.20217443E-01,1.09312054E+02
H-K51,9.60161808E-01,1.16242480E+02,1.18368963E+00,1.18029997E-02,1.02338243E-01,-1.89575777E-02
H-ZPK1A,9.44049498E-01,1.09035762E+02,1.05017122E+00,1.32903754E-02,5.27568709E-01,7.41462968E-04
H-ZPK3,8.14545367E-01,3.53645413E-03,1.10558900E+00,1.11251357E+02,6.90102416E-01,1.41865271E-02
H-ZPK5,2.59562934E-01,1.96231869E-02,1.24131969E+00,6.19669959E-03,7.87237390E-01,1.23753444E+02
H-ZPK7,7.25400532E-01,2.96983783E-03,7.03767661E-01,1.34342640E-02,7.72283140E-01,1.35211711E+02
H-BaK1,6.85984613E-01,1.54934494E-02,9.01677469E-01,1.06588731E+02,6.22429167E-01,2.22670016E-03
H-BaK2,6.18389223E-01,1.74653825E-03,7.18400306E-01,1.58112967E-02,1.07451466E+00,1.26584788E+02
H-BaK3,6.35128580E-01,2.55407022E-03,9.20839763E-01,9.29065095E+01,7.24654326E-01,1.43580146E-02
H-BaK4,5.59279457E-01,1.72756270E-03,9.85286498E-01,9.78673314E+01,8.18059461E-01,1.35929957E-02
H-BaK5,8.58085903E-01,1.01018871E+02,3.80070290E-01,2.03677495E-02,1.01787547E+00,5.64515890E-03
H-BaK6,8.13984879E-01,3.92398403E-03,5.95734077E-01,1.64900015E-02,1.00704301E+00,1.07665801E+02
H-BaK7,6.59469741E-01,7.66009635E-04,7.62196700E-01,1.77403402E-02,1.19935835E+00,1.29975103E+02
H-BaK7GT,6.59469741E-01,7.66009635E-04,7.62196700E-01,1.77403402E-02,1.19935835E+00,1.29975103E+02
H-BaK8,8.45101506E-01,1.00298196E+02,1.01452466E+00,5.55241848E-03,4.18518474E-01,2.02280796E-02
