Name,A0,A1,A2,A3,A4,A5
H-K5,2.25018356E+00,-8.94066156E-03,1.14317829E-02,-7.33393278E-05,3.49616695E-05,-1.80100775E-06
H-K6,2.25024516E+00,-7.58714819E-03,1.26303778E-02,-2.29001819E-04,5.80225939E-05,-2.84094604E-06
H-K12,2.31506425E+00,-8.27156166E-03,1.29535559E-02,2.68505199E-04,-5.46028268E-06,6.24325621E-07
H-ZPK2A,2.53073192E+00,-8.34429910E-03,1.46551845E-02,-2.16647389E-04,5.35525389E-05,-2.46158263E-06
H-BaK7A,2.42067444E+00,-9.07062595E-03,1.48479874E-02,-1.63554726E-05,3.76515875E-05,-1.56033963E-06
H-ZK7,2.56229558E+00,-1.08844706E-02,1.40997791E-02,3.79257039E-04,-2.41612681E-05,1.41616214E-06
H-ZK9A,2.58407802E+00,-1.11281379E-02,1.54281597E-02,2.64033929E-05,2.77466467E-05,-1.24493904E-06
H-LaK61,2.96883578E+00,-1.37037464E-02,2.24806873E-02,1.30227060E-04,3.52478352E-05,-1.34827056E-06
H-LaK67,2.74108280E+00,-1.62850220E-02,1.58669190E-02,1.08192310E-03,-7.71310380E-05,4.03333300E-06
QF1,2.35049510E+00,-8.68570210E-03,1.60928570E-02,1.87059120E-04,4.21495810E-05,-1.32160620E-06
QF3,2.42455090E+00,-7.97140570E-03,1.91498920E-02,3.55050980E-04,1.39418820E-05,1.70577200E-06
QF5,2.44405940E+00,-6.79746310E-03,2.14253870E-02,-3.85446490E-04,1.21952440E-04,-4.21622360E-06
QF6,2.30448840E+00,-8.37823210E-03,1.44243420E-02,3.33743110E-04,-4.46574560E-06,1.33499290E-06
QF8,2.32874310E+00,-7.86798000E-03,1.57638540E-02,1.97942350E-04,1.80028920E-05,3.65334740E-07
F1,2.50596510E+00,-7.86861190E-03,2.15742140E-02,5.98679660E-04,-9.51946060E-07,2.90248580E-06
F2,2.53265982E+00,-7.73825354E-03,2.31731432E-02,4.09362855E-04,3.78046829E-05,1.03464346E-06
F3,2.54428229E+00,-8.35307611E-03,2.28231808E-02,6.70214922E-04,1.04294821E-06,3.03297376E-06
F4,2.55446670E+00,-8.47847799E-03,2.32832892E-02,5.83809482E-04,2.19630010E-05,1.96537708E-06
F5,2.56837524E+00,-9.14046228E-03,2.25979637E-02,9.99853488E-04,-3.66330712E-05,4.93324803E-06
F6,2.56849722E+00,-8.36232123E-03,2.34448291E-02,8.28924343E-04,-1.18355482E-05,4.09561662E-06
F7,2.60275370E+00,-8.46789030E-03,2.46596174E-02,7.44512960E-04,-4.85328405E-06,4.25920114E-06
F13,2.56957078E+00,-7.60403138E-03,2.49680705E-02,3.34501945E-04,5.68154380E-05,6.07326285E-07
BaF4,2.45147200E+00,-6.51188790E-03,1.93773420E-02,-3.06376470E-04,1.01749850E-04,-3.92703560E-06
BaF7,2.54364160E+00,-8.69252160E-03,2.00491920E-02,8.97953520E-04,-4.97344730E-05,5.35560000E-06
ZBaF2,2.63241470E+00,-8.72517620E-03,1.91243020E-02,4.48593310E-04,-1.74732950E-05,2.86011450E-06
ZBaF17,2.71148150E+00,-8.30310470E-03,2.37331950E-02,2.81977290E-04,3.94098990E-05,7.17562650E-07
ZBaF51,2.75901640E+00,-5.81805260E-03,2.66099460E-02,-7.54859940E-04,1.76404590E-04,-6.72711730E-06
ZF1,2.63561610E+00,-8.83964200E-03,2.56447810E-02,9.65223740E-04,-1.83047980E-05,5.55635170E-06
ZF2,2.70820441E+00,-7.94171159E-03,2.92224783E-02,8.84931615E-04,6.68620560E-07,5.65902766E-06
ZF3,2.84758519E+00,-1.05088281E-02,3.09450925E-02,2.13696398E-03,-1.31040120E-04,1.42428874E-05
