Name,AxisNum,EquationType,NegPosType
BBO,1,3,-1
CLBO,1,3,0
LN,1,3,0
MgO:LiNbO3,1,3,0
LiIO3,1,3,0
DKDP,1,3,0
KBBF,1,3,0
KDP,1,3,0
BABF,1,3,0
BIBO,2,3,0
KTP,2,3,0
RTP,2,3,0
LBO,2,3,0
KTA,2,3,0
,,,
H-FK61,0,1,0
H-FK61B,0,1,0
H-FK71,0,1,0
H-FK95N,0,1,0
H-QK1,0,1,0
H-QK3L,0,1,0
H-K1,0,1,0
H-K2,0,1,0
H-K3,0,1,0
K4A,0,1,0
H-K7,0,1,0
H-K8,0,1,0
H-K9L,0,1,0
H-K9LGT,0,1,0
H-K9L*,0,1,0
H-K9LA,0,1,0
H-K10,0,1,0
H-K11,0,1,0
H-K50,0,1,0
H-K51,0,1,0
H-ZPK1A,0,1,0
H-ZPK3,0,1,0
H-ZPK5,0,1,0
H-ZPK7,0,1,0
H-BaK1,0,1,0
H-BaK2,0,1,0
H-BaK3,0,1,0
H-BaK4,0,1,0
H-BaK5,0,1,0
H-BaK6,0,1,0
H-BaK7,0,1,0
H-BaK7GT,0,1,0
H-BaK8,0,1,0
H-ZK1,0,1,0
H-ZK2,0,1,0
H-ZK3,0,1,0
H-ZK3A,0,1,0
H-ZK4,0,1,0
H-ZK5,0,1,0
H-ZK6,0,1,0
H-ZK7A,0,1,0
H-ZK8,0,1,0
H-ZK9B,0,1,0
H-ZK10,0,1,0
H-ZK10L,0,1,0
H-ZK11,0,1,0
H-ZK14,0,1,0
H-ZK20,0,1,0
H-ZK21,0,1,0
H-ZK50,0,1,0
H-ZK50GT,0,1,0
H-LaK1,0,1,0
H-LaK2A,0,1,0
H-LaK3,0,1,0
H-LaK4L,0,1,0
H-LaK5A,0,1,0
H-LaK6A,0,1,0
H-LaK7A,0,1,0
H-LaK8B,0,1,0
H-LaK8A,0,1,0
H-LaK10,0,1,0
H-LaK11,0,1,0
H-LaK12,0,1,0
H-LaK50A,0,1,0
H-LaK51A,0,1,0
H-LaK52,0,1,0
H-LaK53B,0,1,0
H-LaK53A,0,1,0
H-LaK54,0,1,0
H-LaK59A,0,1,0
H-KF6,0,1,0
H-QF1,0,1,0
H-QF3,0,1,0
H-QF6A,0,1,0
H-QF8,0,1,0
H-QF14,0,1,0
H-QF50,0,1,0
H-QF50A,0,1,0
QF50,0,1,0
H-QF56,0,1,0
H-F1,0,1,0
H-F2,0,1,0
H-F3,0,1,0
H-F4,0,1,0
H-F5,0,1,0
